Region and country or area,2000,1990,1980,1970,1960,1950,1920,1910,1900,1890,1880,1870,1860,1850
Total,"31,107,889","19,767,316","14,079,906","9,619,302","9,738,091","14,204,149","13,920,692","13,515,886","10,341,276","9,249,547","6,679,943","5,567,229","4,138,697","2,244,602"
Reported by region and/or country,"31,107,573","18,959,158","13,192,563","9,303,570","9,678,201","14,197,553","13,911,767","13,506,272","10,330,534","9,243,535","6,675,875","5,563,637","4,134,809","2,202,625"
Europe,"4,915,557","4,350,403","5,149,572","5,740,891","7,256,311","11,784,010","11,916,048","11,810,115","8,881,548","8,030,347","5,751,823","4,941,049","3,807,062","2,031,867"
Northern and Western Europe,"2,070,446","2,058,853","2,384,257","2,629,200","3,334,971","5,850,256","6,241,916","7,306,325","7,204,649","7,288,917","5,499,889","4,845,679","3,773,347","2,022,195"
Northern Europe,"974,619","968,271","1,083,499","1,271,591","1,694,430","3,415,551","3,501,149","3,953,947","3,917,815","4,056,160","3,212,431","2,867,926","2,271,661","1,358,887"
British Isles,"834,225","809,972","866,966","937,474","1,171,777","2,147,733","2,172,723","2,573,534","2,783,082","3,122,911","2,772,169","2,626,241","2,199,079","1,340,812"
United Kingdom (total),"677,715","640,145","669,149","686,099","833,055","1,402,923",(X),(X),(X),(X),(X),(X),(X),(X)
Great Britain (total),"677,751","623,614","649,318","645,262","764,893","1,224,091","1,135,489","1,221,283","1,167,623","1,251,402","917,598","770,414","587,775","379,093"
England,"423,609","405,588","442,499","458,114","528,205","809,563","813,853","877,719","840,513","908,141","662,676","550,924","431,692","278,675"
Scotland,"88,445","104,168","142,001","170,134","213,219","354,323","254,570","261,076","233,524","242,231","170,136","140,835","108,518","70,550"
Wales,"10,948","10,638","13,528","17,014","23,469","60,205","67,066","82,488","93,586","100,079","83,302","74,533","45,763","29,868"
Great Britain n.e.c.,"141,572","103,220","51,290",(NA),(NA),(NA),(NA),(NA),(NA),951,"1,484","4,122","1,802",(NA)
